Ort;Plz
Behlendorf;23919
Behlow;15868
Behnkendorf;18510
Behnsdorf;39356
Behrendorf;25850
Behrendorf;39606
Behrenhoff;17498
Behren-Lübchin;17179
Behrensdorf;15864
Behrensdorf;24321
Behringen;99326
Behringen;99947
Behringer Schenke;99326
Behrungen;98631
Bei den Tongruben;63543
Beicha;4720
Beichlingen;99625
Beidendorf;23996
Beidenfleth;25573
Beierfeld;8340
Beiersdorf;2736
Beiersdorf;4924
Beiersdorf;16259
Beierstedt;38382
Beilingen;54662
Beilngries;92339
Beilrode;4886
Beilstein;56814
Beilstein;71717
Beimerstetten;89179
Beindersheim;67259
Beinerstadt;98660
Beinhausen;54552
Bekdorf;25554
Bekmünde;25524
Bekond;54340
Belau;24601
Beldorf;25557
Belg;56858
Belgern;4874
Belgershain;4683
Belgweiler;55469
Bell;56288
Bell;56745
Belleben;6425
Bellenberg;89287
Bellers;36208
Bellevue;74357
Bellheim;76756
Bellin;18292
Belling;17309
Bellingen;39579
Bellingen;56459
Bellstedt;99713
Belm;49191
Below;17209
Belrieth;98617
Belsch;19230
Belsdorf;39356
Beltheim;56290
Belum;21785
Belzhof;73494
Belzig;14806
Bembermühle;56203
Bembsmühle;56170
Bembsmühle;56170
Bempflingen;72658
Benckendorf;23942
Bendeleben;99706
Bendelin;19339
Bendestorf;21227
Bendfeld;24217
Bendhof;19205
Bendorf;25557
Bendorf;56170
Benediktbeuern;83671
Bengel;54538
Benitz;18258
Benjental;67435
Benken;14806
Benkendorf;29416
Benkendorf b Salzmünde;6179
Benndorf;6308
Benneckenstein;38877
Bennewitz;4828
Bennhausen;67808
Bennin;19260
Benningen;71726
Benningen;87734
Bennstedt;6179
Bennungen;6536
Benratherhof;54314
Bensdorf;14789
Benshausen;98554
Bensheim;64625
Bentwisch;18182
Bentwisch;19322
Bentzin;17129
Benz;17429
Benz;19249
Benz;23970
Benzin;19217
Benzweiler;55494
Beratzhausen;93176
Berbisdorf;1471
Berching;92334
Berchtesgaden;83471
Bereborn;56769
Berenbach;56766
Berenbrock;39638
Berendshagen;18239
Berg;53505
Berg;56357
Berg;76768
Berg;82335
Berg;83362
Berg;83546
Berg;88276
Berg;92348
Berg;95180
Berg im Gau;86562
Berga;6536
Berga;7980
Bergatreute;88368
Berge;14641
Berge;19348
Berge;39638
Berge;49626
Bergen;3246
Bergen;8239
Bergen;18528
Bergen;29303
Bergen;29468
Bergen;55608
Bergen;83346
Bergen;91790
Bergenhausen;55469
Bergenhusen;24861
Bergerdamm;14641
Bergerhof;56379
Bergewöhrden;25779
Bergfeld;38467
Bergfelde;16562
Berghaupten;77791
Berghausen;56368
Bergheim;50126
Bergheim;50127
Bergheim;50129
Bergheim;86673
Berghof;73249
Bergholz;14806
Bergholz;17321
Bergholz-Rehbrücke;14558
Berghülen;89180
Bergisch Gladbach;51427
Bergisch Gladbach;51429
Bergisch Gladbach;51465
Bergisch Gladbach;51467
Bergisch Gladbach;51469
Bergisdorf;6712
Bergkamen;59192
Bergkirchen;85232
Berglage;49459
Berglangenbach;55776
Berglen;73663
Berglern;85459
Berglicht;54426
Bergmühle;67823
Bergneustadt;51702
Bergrade Dorf;19374
Bergrheinfeld;97493
Bergschäferei;15377
Bergsdorf;16775
Bergtheim;97241
Bergweiler;54518
Bergwitz;6773
Bergzow;39307
Beringstedt;25575
Berka;99837
Berka v d Hainich;99826
Berkach;98631
Berkatal;37297
Berkau;39624
Berkenbrück;15518
Berkenthin;23919
Berkheim;88450
Berkholz-Meyenburg;16306
Berkoth;54673
Berlin;10115
Berlin;10117
Berlin;10119
Berlin;10178
Berlin;10179
Berlin;10243
Berlin;10245
Berlin;10247
Berlin;10249
Berlin;10315
Berlin;10317
Berlin;10318
Berlin;10319
Berlin;10365
Berlin;10367
Berlin;10369
Berlin;10405
Berlin;10407
Berlin;10409
Berlin;10435
Berlin;10437
Berlin;10439
Berlin;10551
Berlin;10553
Berlin;10555
Berlin;10557
Berlin;10559
Berlin;10585
Berlin;10587
Berlin;10589
Berlin;10623
Berlin;10625
Berlin;10627
Berlin;10629
Berlin;10707
Berlin;10709
Berlin;10711
Berlin;10713
Berlin;10715
Berlin;10717
Berlin;10719
Berlin;10777
Berlin;10779
Berlin;10781
Berlin;10783
Berlin;10785
Berlin;10787
Berlin;10789
Berlin;10823
Berlin;10825
Berlin;10827
Berlin;10829
Berlin;10961
Berlin;10963
Berlin;10965
Berlin;10967
Berlin;10969
Berlin;10997
Berlin;10999
Berlin;12043
Berlin;12045
Berlin;12047
